example_prefetchers/ampm_lite_prefetcher.c,,,,
traces/GemsFDTD_trace2.dpc,3.300108,3.300108,3.275035,3.201842
traces/gcc_trace2.dpc,0.310416,0.308576,0.177316,0.309429
traces/lbm_trace2.dpc,1.545331,1.349003,0.920716,1.525312
traces/leslie3d_trace2.dpc,0.856729,0.797234,0.635534,0.843303
traces/libquantum_trace2.dpc,3.270776,3.270776,3.15056,3.27735
traces/mcf_trace2.dpc,0.367119,0.242557,0.222575,0.370201
traces/milc_trace2.dpc,1.47817,1.416061,0.607796,1.476242
traces/omnetpp_trace2.dpc,2.276288,1.529286,1.834017,2.207998
example_prefetchers/ip_stride_prefetcher.c,,,,
traces/GemsFDTD_trace2.dpc,3.291337,3.291337,3.268956,3.1877
traces/gcc_trace2.dpc,0.252499,0.25178,0.170173,0.251025
traces/lbm_trace2.dpc,1.48546,1.369913,0.935163,1.477514
traces/leslie3d_trace2.dpc,0.901588,0.821424,0.609258,0.951807
traces/libquantum_trace2.dpc,3.24298,3.24298,3.160196,3.240038
traces/mcf_trace2.dpc,0.341354,0.232864,0.221372,0.343806
traces/milc_trace2.dpc,1.004869,0.984407,0.575178,0.912691
traces/omnetpp_trace2.dpc,2.19226,1.441982,1.784143,2.133536
example_prefetchers/next_line_prefetcher.c,,,,
traces/GemsFDTD_trace2.dpc,3.236973,3.236973,3.214873,3.170816
traces/gcc_trace2.dpc,0.246071,0.245502,0.140013,0.246226
traces/lbm_trace2.dpc,1.225521,1.105098,0.877546,1.174269
traces/leslie3d_trace2.dpc,0.898307,0.829955,0.612257,0.862437
traces/libquantum_trace2.dpc,3.282062,3.282062,3.116245,3.295121
traces/mcf_trace2.dpc,0.335239,0.203387,0.191983,0.335617
traces/milc_trace2.dpc,0.931229,0.915791,0.554493,0.91121
traces/omnetpp_trace2.dpc,1.701056,1.162875,1.124225,1.648218
example_prefetchers/skeleton.c,,,,
traces/GemsFDTD_trace2.dpc,3.286016,3.286016,3.259102,3.19538
traces/gcc_trace2.dpc,0.238711,0.238264,0.16632,0.239867
traces/lbm_trace2.dpc,0.899017,0.834767,0.656183,0.872493
traces/leslie3d_trace2.dpc,0.582745,0.554379,0.473477,0.568693
traces/libquantum_trace2.dpc,3.075314,3.075314,2.865489,3.096512
traces/mcf_trace2.dpc,0.300897,0.212164,0.207789,0.313833
traces/milc_trace2.dpc,0.739401,0.735167,0.458946,0.727248
traces/omnetpp_trace2.dpc,2.077329,1.288913,1.709215,2.063183
example_prefetchers/stream_prefetcher.c,,,,
traces/GemsFDTD_trace2.dpc,3.275834,3.275834,3.254647,3.188805
traces/gcc_trace2.dpc,0.239171,0.237503,0.139969,0.2393
traces/lbm_trace2.dpc,1.047169,0.978771,0.752722,1.044766
traces/leslie3d_trace2.dpc,0.65081,0.616959,0.515054,0.624807
traces/libquantum_trace2.dpc,3.122388,3.122388,2.973097,3.136273
traces/mcf_trace2.dpc,0.327775,0.225259,0.20889,0.332118
traces/milc_trace2.dpc,0.909725,0.88914,0.548485,0.885778
traces/omnetpp_trace2.dpc,2.149972,1.370751,1.761028,2.116835
